BRANCH_CODE,BRANCH_NAME,DATE_OPENED,REGION_CODE,REGION_NAME,DISTRICT_CODE,DISTRICT_NAME,CORE_BANK,INPUTTER,AUTHORISER,TRANS_DATE,TRANS_TIME,AUDITOR_CODE,AUDIT_DATE_TIME,BRANCH_MNEMONIC
ET0010002,Adama Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010002,64_MUBSHER__OFS_BROWSERTC,36171_INPUTTER,28-Feb-18,10:21,,,ADM
ET0010005,Hora Arsedi Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010005,40091_ZERENDK__OFS_BROWSERTC,34679_INPUTTER,17-Aug-21,20:34,,,HRA
ET0010544,Qoche Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010544,20406_HABBEKU__OFS_BROWSERTC,81020_HABBEKU,13-Dec-21,14:39,,,QOC
ET0010523,Barecha Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010523,20613_HABBEKU__OFS_BROWSERTC,43564_HABBEKU,13-Dec-21,14:39,,,BCH
ET0010010,Hawas Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010010,12070_MUBSHER__OFS_BROWSERTC,93101_INPUTTER,24-Sep-18,14:55,,,HWS
ET0010018,Torban Obo Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010018,20783_MUBSHER__OFS_BROWSERTC,84250_INPUTTER,24-Oct-18,9:21,,,TRO
ET0010022,BoleNura Hera Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010022,20800_MUBSHER__OFS_BROWSERTC,84250_INPUTTER,27-Oct-18,10:50,,,BNH
ET0010024,Mojo Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010024,20767_MUBSHER__OFS_BROWSERTC,84250_INPUTTER,27-Oct-18,10:56,,,MJO
ET0010043,Meki Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010043,20802_MUBSHER__OFS_BROWSERTC,54712_INPUTTER,27-Oct-18,12:02,,,MKI
ET0010061,Gumbichu Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010061,40091_ZERENDK__OFS_BROWSERTC,8569_INPUTTER,17-Aug-21,20:34,,,GUM
ET0010076,Boku Shenen Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010076,21003_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:13,,,BKS
ET0010168,Adea Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010168,40091_ZERENDK__OFS_BROWSERTC,25972_AUTHORISER,17-Aug-21,20:33,,,BDE
ET0010170,Dhaka Adi Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010170,21003_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:23,,,DHA
ET0010171,Kilole Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010171,40091_ZERENDK__OFS_BROWSERTC,25972_AUTHORISER,17-Aug-21,20:33,,,KLL
ET0010178,Karayu Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010178,21259_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:32,,,KRY
ET0010184,Awash Sebat Kilo,1-Jan-12,,AFAR,2,ADAMA DISTRICT,ET0010184,21259_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:39,,,AWS
ET0010188,Awash Melkasa Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010188,21003_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:42,,,AWM
ET0010189,Bosat Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010189,20937_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:45,,,BST
ET0010191,Bote Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010191,21159_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:49,,,BTE
ET0010206,Qurqura Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010206,20937_MUBSHER__OFS_BROWSERTC,72225_INPUTTER,28-Oct-18,17:07,,,QRQ
ET0010257,Ela Bala Branch,20-Jun-17,,OROMIA,2,ADAMA DISTRICT,ET0010257,21003_MUBSHER__OFS_BROWSERTC,3829_MIG03,28-Oct-18,18:11,,,ELB
ET0010267,Derartu Tullu Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010267,10087_TEMESGENTAL__OFS_BROWSERTC,40640_TSENIRM,5-Oct-17,9:27,,,DTU
ET0010278,Wanji Branch,4-Nov-17,,OROMIA,2,ADAMA DISTRICT,ET0010278,10099_NURLEGK__OFS_BROWSERTC,73430_ASKKASA,20-Nov-17,15:21,,,WNJ
ET0010280,Qechema Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010280,10002_REGALEC__OFS_BROWSERTC,8899_REGALEC,8-Nov-17,21:44,,,QEC
ET0010285,Chafe Branch,14-Nov-17,,OROMIA,2,ADAMA DISTRICT,ET0010285,10012_NEGAKUA__OFS_BROWSERTC,44388_ASKKASA,15-Nov-17,2:03,,,CFE
ET0010323,Dhadacha Arara Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010323,65657_WONYESB,65657_WONYESB,14-Sep-18,0:06,,,DHR
ET0010326,Dabe Soloke Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010326,81070_NEGAKUA__OFS_BROWSERTC,41312_FEYKIDK,26-Sep-18,11:15,,,DSK
ET0010348,Koka Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010348,60181_ZERENDK__OFS_BROWSERTC,40582_FEYKIDK,6-Sep-22,19:46,,,KKA
ET0010349,Burka Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010349,60365_ZERENDK__OFS_BROWSERTC,96677_FEYKIDK,6-Sep-22,19:47,,,BRK
ET0010350,Ganda Hara Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010350,60869_DONABEH__OFS_BROWSERTC,34368_REGALEC,17-Sep-20,13:44,,,GHR
ET0010351,Kiltu Lume Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010351,60869_DONABEH__OFS_BROWSERTC,34368_REGALEC,17-Sep-20,13:44,,,KLM
ET0010370,Gara Baru Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010370,40091_ZERENDK__OFS_BROWSERTC,56979_FEYKIDK,17-Aug-21,20:33,,,GRB
ET0010372,Haro Adi Micro Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010372,1288_DONABEH__OFS_BROWSERTC,43717_REGALEC,28-Jun-19,16:23,,,HAD
ET0010415,Bilal Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010415,62613_FEYKIDK__OFS_BROWSERTC,61266_FEYKIDK,20-Dec-19,20:48,,,BEL
ET0010432,Liban Chukala Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010432,20500_HABBEKU__OFS_BROWSERTC,82623_FEYKIDK,13-Dec-21,14:39,,,LBC
ET0010446,Bishoftu Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010446,40091_ZERENDK__OFS_BROWSERTC,43969_FEYKIDK,17-Aug-21,20:32,,,BIS
ET0010513,Oda Boqota,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010513,16902_FEYKIDK,64321_FEYKIDK,30-Sep-21,18:24,,,ODO
ET0010514,Dagaga Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010514,96116_FEYKIDK,79535_FEYKIDK,2-Oct-21,18:48,,,DGG
ET0010591,Bedhatu Branch,1-Jan-12,,AA,2,ADAMA DISTRICT,ET0010591,75861_GEMGADB,16403_GEMGADB,12-May-22,13:55,,,BDT
ET0010592,Torban Garba Branch,1-Jan-12,,AA,2,ADAMA DISTRICT,ET0010592,88172_ZERENDK,79037_ZERENDK,12-May-22,13:54,,,TBG
ET0010594,Gurmu Branch,1-Jan-12,,AA,2,ADAMA DISTRICT,ET0010594,31124_ZERENDK,24013_ZERENDK,13-May-22,16:35,,,GRM
ET0010609,Dire Jitu Branch,1-Jan-12,,AA,2,ADAMA DISTRICT,ET0010609,74024_GEMGADB,65541_ZERENDK,30-Aug-22,16:26,,,DJT
ET0010611,Artu Branch,1-Jan-12,,AA,2,ADAMA DISTRICT,ET0010611,93263_GEMGADB,63049_GEMGADB,30-Aug-22,15:27,,,ATU
ET0010618,Dambala Micro Branch,1-Jan-12,,AA,2,ADAMA DISTRICT,ET0010618,70581_GEMGADB,21807_GEMGADB,17-Sep-22,11:38,,,DMA
ET0010222,Finfine Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010222,20937_MUBSHER__OFS_BROWSERTC,4777_INPUTTER,28-Oct-18,17:27,,,FNF
ET0010004,Kersa Main Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010004,20774_MUBSHER__OFS_BROWSERTC,95160_INPUTTER,27-Oct-18,10:04,,,KRM
ET0010530,Hilal Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010530,79123_HABBEKU,79123_HABBEKU,1-Dec-21,10:33,,,HIL
ET0010509,Yai Goro Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010509,85_HABBEKU__OFS_BROWSERTC,12719_HABBEKU,13-Oct-21,14:56,,,YAG
ET0010508,Chafe Anane Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010508,24_HABBEKU__OFS_BROWSERTC,42727_HABBEKU,13-Oct-21,14:56,,,CFA
ET0010008,Merkato Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010008,20795_MUBSHER__OFS_BROWSERTC,76952_INPUTTER,27-Oct-18,10:13,,,MRK
ET0010012,Sheger Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010012,20797_MUBSHER__OFS_BROWSERTC,82453_INPUTTER,27-Oct-18,10:21,,,SHE
ET0010048,Oda Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010048,20789_MUBSHER__OFS_BROWSERTC,58417_INPUTTER,27-Oct-18,12:14,,,ODA
ET0010064,Bombtera Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010064,10621_MUBSHER__OFS_GCS,8569_INPUTTER,24-May-18,9:37,,,BMT
ET0010082,Kebena Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010082,56_ZERENDK__OFS_BROWSERTC,88908_INPUTTER,17-Aug-21,20:50,,,KBN
ET0010096,Gojam Berenda Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010096,21003_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:42,,,GJB
ET0010111,Aba Nefso Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010111,20900_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,11:18,,,ABN
ET0010113,Aba Mela Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010113,10794_MUBSHER__OFS_GCS,90787_INPUTTER,15-Aug-18,17:52,,,ABM
ET0010118,Churchill Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010118,21003_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,11:42,,,CHR
ET0010121,Meskel Flower Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010121,10262_ASHENAFII__OFS_BROWSERTC,90787_INPUTTER,14-Aug-17,10:34,,,MSF
ET0010125,Mesalemia Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010125,20937_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,11:56,,,MSL
ET0010132,Agemsa Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010132,21003_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,15:14,,,AGM
ET0010133,Yai Gulele Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010133,21003_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,15:17,,,YGL
ET0010155,Birbirsa Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010155,21259_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,16:07,,,BRB
ET0010158,Wayyu Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010158,21259_MUBSHER__OFS_BROWSERTC,62274_INPUTTER,28-Oct-18,16:10,,,WYU
ET0010173,Wirtu Merkato Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010173,21259_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:26,,,WRM
ET0010185,Dolo Bidena Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010185,21003_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:40,,,DLB
ET0010249,Sulula Garbi Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010249,21159_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,18:01,,,SLG
ET0010330,Hurufa Rare Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010330,10495_TSENIRM__OFS_GCS,25509_TSENIRM,4-Oct-18,3:25,,,HUR
ET0010373,Baro Korma Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010373,90352_DONABEH__OFS_BROWSERTC,38678_HABBEKU,3-Jan-19,15:44,,,BKO
ET0010395,Sora Lume Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010395,1255_WONYESB__OFS_BROWSERTC,26981_FEYKIDK,2-Aug-19,14:54,,,SLM
ET0010421,Kello Mesqela Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010421,42124_HABBEKU__OFS_BROWSERTC,72585_FEYKIDK,9-May-20,11:10,,,KML
ET0010422,Debasso Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010422,5555_HABBEKU__OFS_BROWSERTC,73766_HABBEKU,10-Mar-20,1:00,,,DBS
ET0010424,Robale Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010424,8202_FEYKIDK__OFS_BROWSERTC,44114_FEYKIDK,23-Sep-20,12:06,,,ABK
ET0010428,Haile Fida Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010428,8922_FEYKIDK__OFS_BROWSERTC,36352_HABBEKU,13-Oct-20,19:05,,,HLD
ET0010429,UmmuAyman Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010429,8779_FEYKIDK__OFS_BROWSERTC,19257_FEYKIDK,13-Oct-20,19:05,,,UMY
ET0010431,Sinqee Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010431,56_ZERENDK__OFS_BROWSERTC,28556_FEYKIDK,17-Aug-21,20:51,,,SNQ
ET0010455,Birmaji Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010455,36258_FEYKIDK,84968_FEYKIDK,4-Mar-21,16:38,,,BRM
ET0010566,Mina Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010566,4094_ZERENDK__OFS_BROWSERTC,12669_ZERENDK,10-Mar-22,17:14,,,LMA
ET0010485,Abdisa Aga Branch,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010485,20152_HABBEKU__OFS_BROWSERTC,64860_HABBEKU,17-Aug-21,18:31,,,ABD
ET0010599,Catherine Hamlin,1-Jan-12,,AA,3,CENTRAL FINFINE DISTRICT,ET0010599,26603_ZERENDK,92967_ZERENDK,22-Jul-22,6:38,,,CTH
ET0010013,Dire Dawa Branch,1-Jan-12,,DIREDAWA,4,DIRE DAWA DISTRICT,ET0010013,10311_MUBSHER__OFS_BROWSERTC,82453_INPUTTER,19-Sep-17,15:21,,,DRD
ET0010038,Jigjiga Branch,1-Jan-12,,SOMALI,4,DIRE DAWA DISTRICT,ET0010038,10217_MUBSHER__OFS_BROWSERTC,54712_INPUTTER,11-Aug-17,15:15,,,JGJ
ET0010541,Ramadan Branch,1-Jan-12,,HARARI,4,DIRE DAWA DISTRICT,ET0010541,40862_HABBEKU__OFS_BROWSERTC,94257_HABBEKU,13-Dec-21,14:46,,,RMD
ET0010517,Taiwan Branch,1-Jan-12,,DIREDAWA,4,DIRE DAWA DISTRICT,ET0010517,40837_HABBEKU__OFS_BROWSERTC,54893_HABBEKU,13-Dec-21,14:47,,,TAW
ET0010518,Bulullo Branch,1-Jan-12,,HARARI,4,DIRE DAWA DISTRICT,ET0010518,40780_HABBEKU__OFS_BROWSERTC,89783_HABBEKU,13-Dec-21,14:47,,,BLU
ET0010501,Mustafa Harawe Branch,1-Jan-12,,HARARI,4,DIRE DAWA DISTRICT,ET0010501,40848_HABBEKU__OFS_BROWSERTC,70023_HABBEKU,13-Dec-21,14:47,,,MSH
ET0010478,Diredawa Rashotel,1-Jan-12,,DIREDAWA,4,DIRE DAWA DISTRICT,ET0010478,40848_HABBEKU__OFS_BROWSERTC,95213_HABBEKU,13-Dec-21,14:48,,,DRA
ET0010045,Afren Kelo Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010045,10513_MUBSHER__OFS_BROWSERTC,54712_INPUTTER,23-Mar-18,11:29,,,AFK
ET0010046,Hundene Branch,1-Jan-12,,HARARI,4,DIRE DAWA DISTRICT,ET0010046,42545_DONABEH__OFS_BROWSERTC,58417_INPUTTER,2-Oct-20,9:04,,,HND
ET0010047,Babile Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010047,20795_MUBSHER__OFS_BROWSERTC,58417_INPUTTER,27-Oct-18,12:12,,,BBL
ET0010049,Togo Wuchale Branch,1-Jan-12,,SOMALI,4,DIRE DAWA DISTRICT,ET0010049,20756_MUBSHER__OFS_BROWSERTC,58417_INPUTTER,27-Oct-18,12:15,,,TGW
ET0010063,Sabian Branch,1-Jan-12,,DIREDAWA,4,DIRE DAWA DISTRICT,ET0010063,21159_MUBSHER__OFS_BROWSERTC,8569_INPUTTER,28-Oct-18,9:54,,,SBN
ET0010074,Haramaya Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010074,20885_MUBSHER__OFS_BROWSERTC,8569_INPUTTER,28-Oct-18,10:11,,,HRM
ET0010100,Hafatessa Branch,1-Jan-12,,DIREDAWA,4,DIRE DAWA DISTRICT,ET0010100,21003_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:46,,,HFT
ET0010101,Kombolcha Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010101,21670_WONYESB__OFS_BROWSERTC,21263_INPUTTER,21-Oct-19,14:32,,,KMB
ET0010239,Laga Oda Branch,1-Jan-12,,DIREDAWA,4,DIRE DAWA DISTRICT,ET0010239,61468_DONABEH__OFS_BROWSERTC,52757_INPUTTER,2-Nov-20,15:35,,,LGO
ET0010242,Chinaksen Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010242,21003_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:49,,,CHN
ET0010243,Gode Branch,1-Jan-12,,SOMALI,4,DIRE DAWA DISTRICT,ET0010243,21259_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:51,,,GDE
ET0010245,Badano Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010245,21259_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:54,,,BDN
ET0010246,AwAbadir Branch,1-Jan-12,,HARARI,4,DIRE DAWA DISTRICT,ET0010246,21259_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:55,,,AWD
ET0010247,Chalanqo Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010247,21159_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:57,,,CLQ
ET0010248,Kali Branch,1-Jan-12,,SOMALI,4,DIRE DAWA DISTRICT,ET0010248,61339_DONABEH__OFS_BROWSERTC,52757_INPUTTER,2-Nov-20,15:36,,,KLI
ET0010269,Gara Muleta Branch,1-Jan-12,,OROMIA,4,DIRE DAWA DISTRICT,ET0010269,10002_TSENIRM__OFS_BROWSERTC,23980_DAMABDG,25-Oct-17,3:21,,,GMU
ET0010210,Begi Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010210,21159_MUBSHER__OFS_BROWSERTC,72225_INPUTTER,28-Oct-18,17:12,,,BGI
ET0010211,Kiltu Karra Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010211,21159_MUBSHER__OFS_BROWSERTC,72225_INPUTTER,28-Oct-18,17:13,,,KLT
ET0010217,Oda Karra Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010217,20937_MUBSHER__OFS_BROWSERTC,4777_INPUTTER,28-Oct-18,17:21,,,ODK
ET0010218,Muka Arara Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010218,21159_MUBSHER__OFS_BROWSERTC,4777_INPUTTER,28-Oct-18,17:22,,,MKA
ET0010219,Hababo Guduru Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010219,21159_MUBSHER__OFS_BROWSERTC,4777_INPUTTER,28-Oct-18,17:24,,,HBG
ET0010221,Qeto Machara Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010221,20937_MUBSHER__OFS_BROWSERTC,4777_INPUTTER,28-Oct-18,17:26,,,QTM
ET0010230,Anfillo Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010230,20937_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:34,,,ANF
ET0010271,Sayo Nole Branch,17-Oct-17,,OROMIA,6,NEKEMTE DISTRICT,ET0010271,10185_NEGAKUA__OFS_BROWSERTC,11796_NEGAKUA,21-Oct-17,10:24,,,SNO
ET0010273,Kiramu Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010273,10002_TEMESGENTAL__OFS_BROWSERTC,56330_FEYKIDK,21-Oct-17,2:56,,,KIR
ET0010274,Amuru Branch,17-Oct-17,,OROMIA,6,NEKEMTE DISTRICT,ET0010274,56_ZERENDK__OFS_BROWSERTC,11796_NEGAKUA,17-Aug-21,20:54,,,AMU
ET0010290,Bokku Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010290,10003_DAMABDG__OFS_BROWSERTC,99892_DAMABDG,22-Dec-17,4:19,,,BKU
ET0010315,Bake Jama Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010315,10719_REGALEC__OFS_GCS,12844_TCSP,2-Sep-18,12:58,,,BJA
ET0010316,Bila Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010316,10719_REGALEC__OFS_GCS,12844_TCSP,2-Sep-18,12:58,,,BIL
ET0010317,Hawa Gelan Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010317,10719_REGALEC__OFS_GCS,12844_TCSP,2-Sep-18,12:58,,,HGN
ET0010318,Tullu Gana Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010318,10719_REGALEC__OFS_GCS,12844_TCSP,2-Sep-18,12:59,,,TLG
ET0010319,Ayira Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010319,10719_REGALEC__OFS_GCS,12844_TCSP,2-Sep-18,12:59,,,AYR
ET0010344,Bonaya Boshe Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010344,160006_ADDKAMC__OFS_BROWSERTC,54007_HABBEKU,4-Dec-18,13:16,,,BON
ET0010345,Gudetu Arjo Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010345,94868_WONYESB,94868_WONYESB,30-Nov-18,0:50,,,GAR
ET0010382,Qebe Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010382,160379_DONABEH__OFS_BROWSERTC,73990_FEYKIDK,30-Mar-19,9:28,,,QEB
ET0010398,Agamsa Migir Branch,1-Jan-12,,OROMIA,6,NEKEMTE DISTRICT,ET0010398,21623_REGALEC__OFS_BROWSERTC,15037_FEYKIDK,24-Sep-19,16:15,,,AMM
