BRANCH_CODE,BRANCH_NAME,DATE_OPENED,REGION_CODE,REGION_NAME,DISTRICT_CODE,DISTRICT_NAME,CORE_BANK,INPUTTER,AUTHORISER,TRANS_DATE,TRANS_TIME,AUDITOR_CODE,AUDIT_DATE_TIME,BRANCH_MNEMONIC
ET0010521,Digalu Branch,1-Jan-12,,OROMIA,13,ASELLA DISTRICT,ET0010521,99611_FEYKIDK,68521_FEYKIDK,13-Oct-21,15:35,,,DIG
ET0010585,Tiyo Branch,1-Jan-12,,AA,13,ASELLA DISTRICT,ET0010585,29185_ZERENDK,6890_ZERENDK,16-May-22,17:57,,,TYO
ET0010610,Badr Branch,1-Jan-12,,AA,13,ASELLA DISTRICT,ET0010610,14379_GEMGADB,2468_GEMGADB,20-Sep-22,15:58,,,BDR
ET0010037,Chiro Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010037,40091_ZERENDK__OFS_BROWSERTC,54712_INPUTTER,17-Aug-21,20:25,,,CHI
ET0010034,Bedessa Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010034,40091_ZERENDK__OFS_BROWSERTC,54712_INPUTTER,17-Aug-21,20:25,,,BDS
ET0010556,Tullo Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010556,1361_HABBEKU__OFS_BROWSERTC,9134_HABBEKU,22-Dec-21,16:11,,,TLL
ET0010546,Furkan Branch,1-Jan-12,,HARARI,14,CHIRO DISTRICT,ET0010546,40862_HABBEKU__OFS_BROWSERTC,77386_HABBEKU,13-Dec-21,14:46,,,FUR
ET0010536,AlBukhari Branch,1-Jan-12,,HARARI,14,CHIRO DISTRICT,ET0010536,40831_HABBEKU__OFS_BROWSERTC,32972_HABBEKU,13-Dec-21,14:45,,,ALB
ET0010519,Oda Bultum Branch,1-Jan-12,,HARARI,14,CHIRO DISTRICT,ET0010519,40861_HABBEKU__OFS_BROWSERTC,26882_HABBEKU,13-Dec-21,14:45,,,ODM
ET0010533,Kamona Branch,1-Jan-12,,HARARI,14,CHIRO DISTRICT,ET0010533,40857_HABBEKU__OFS_BROWSERTC,37726_HABBEKU,13-Dec-21,14:45,,,KMN
ET0010534,Dhumuga Branch,1-Jan-12,,HARARI,14,CHIRO DISTRICT,ET0010534,40861_HABBEKU__OFS_BROWSERTC,13563_HABBEKU,13-Dec-21,14:45,,,DHU
ET0010535,Milqaye Branch,1-Jan-12,,HARARI,14,CHIRO DISTRICT,ET0010535,40858_HABBEKU__OFS_BROWSERTC,6112_HABBEKU,13-Dec-21,14:44,,,MLQ
ET0010520,Garu Hira Branch,1-Jan-12,,HARARI,14,CHIRO DISTRICT,ET0010520,40780_HABBEKU__OFS_BROWSERTC,70071_HABBEKU,13-Dec-21,14:43,,,GRH
ET0010068,Gelemso Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010068,40091_ZERENDK__OFS_BROWSERTC,8569_INPUTTER,17-Aug-21,20:26,,,GLM
ET0010084,Hirna Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010084,40091_ZERENDK__OFS_BROWSERTC,88908_INPUTTER,17-Aug-21,20:26,,,HRN
ET0010085,Deder Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010085,40091_ZERENDK__OFS_BROWSERTC,88908_INPUTTER,17-Aug-21,20:26,,,DDR
ET0010182,Melka Ballo Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010182,40091_ZERENDK__OFS_BROWSERTC,25972_AUTHORISER,17-Aug-21,20:26,,,MLK
ET0010244,Boke Xiqo Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010244,40091_ZERENDK__OFS_BROWSERTC,52757_INPUTTER,17-Aug-21,20:26,,,BOK
ET0010268,Baroda Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010268,40091_ZERENDK__OFS_BROWSERTC,10096_TSENIRM,17-Aug-21,20:26,,,BAR
ET0010281,Karamile Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010281,40091_ZERENDK__OFS_BROWSERTC,16287_TSENIRM,17-Aug-21,20:27,,,KMI
ET0010294,Mechara Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010294,40091_ZERENDK__OFS_BROWSERTC,79285_FEYKIDK,17-Aug-21,20:27,,,MEC
ET0010296,Shenen Dhugo Branch,1-Jan-12,,OROMIA,14,CHIRO DISTRICT,ET0010296,40095_ZERENDK__OFS_BROWSERTC,34051_TSENIRM,17-Aug-21,20:27,,,SHD
ET0010203,Warqa Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010203,20937_MUBSHER__OFS_BROWSERTC,72225_INPUTTER,28-Oct-18,17:03,,,WRQ
ET0010229,Harufa Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010229,21159_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:33,,,HRF
ET0010231,Qore Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010231,21159_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:36,,,QRE
ET0010265,Ajje Branch,12-Sep-17,,OROMIA,8,SHASHEMENE DISTRICT,ET0010265,10049_TEMESGENTAL__OFS_BROWSERTC,86273_ADDKAMC,5-Oct-17,9:27,,,AJJ
ET0010279,Bulbula Branch,4-Nov-17,,OROMIA,8,SHASHEMENE DISTRICT,ET0010279,56_ZERENDK__OFS_BROWSERTC,73430_ASKKASA,17-Aug-21,20:55,,,BUL
ET0010287,Kokosa Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010287,10068_TSENIRM__OFS_BROWSERTC,58389_TSENIRM,5-Dec-17,2:18,,,KOK
ET0010288,Heban Arsi Branch,16-Dec-17,,OROMIA,8,SHASHEMENE DISTRICT,ET0010288,10039_ASKKASA__OFS_BROWSERTC,55773_NEGAKUA,17-Dec-17,2:56,,,HEB
ET0010332,Kuyera Branch,17-Oct-18,,OROMIA,8,SHASHEMENE DISTRICT,ET0010332,20001_NEGAKUA__OFS_BROWSERTC,8559_NEGAKUA,18-Oct-18,1:29,,,KYR
ET0010346,Oda Bilbila Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010346,82165_ADDKAMC,3287_ADDKAMC,17-Nov-18,9:29,,,OBI
ET0010347,Bishan Guracha Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010347,30148_FEYKIDK__OFS_BROWSERTC,96185_FEYKIDK,17-Nov-18,1:58,,,BIG
ET0010416,Hamza Mesgid Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010416,24455_FEYKIDK__OFS_BROWSERTC,38431_FEYKIDK,21-Dec-19,10:54,,,HME
ET0010426,Iman Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010426,40825_HABBEKU__OFS_BROWSERTC,564_HABBEKU,13-Dec-21,14:57,,,IMN
ET0010476,Nagele Hasasa Branch,1-Jan-12,,OROMIA,8,SHASHEMENE DISTRICT,ET0010476,40825_HABBEKU__OFS_BROWSERTC,66571_HABBEKU,13-Dec-21,14:57,,,NGH
ET0010547,Amal Branch,1-Jan-12,,AA,8,SHASHEMENE DISTRICT,ET0010547,69996_ZERENDK,38730_ZERENDK,19-Mar-22,19:01,,,AML
ET0010574,Fejir Branch,1-Jan-12,,Oromia,8,SHASHEMENE DISTRICT,ET0010574,21427_FEYKIDK,49746_FEYKIDK,21-Mar-22,12:07,,,FEJ
ET0010612,Heraro Branch,1-Jan-12,,AA,8,SHASHEMENE DISTRICT,ET0010612,21661_ZERENDK,3520_ZERENDK,16-Sep-22,15:04,,,HER
ET0010614,Meja Demma Branch,1-Jan-12,,AA,8,SHASHEMENE DISTRICT,ET0010614,17742_GEMGADB,61832_GEMGADB,16-Sep-22,15:16,,,MDM
ET0010613,Birbirsa Qaraxa Branch,1-Jan-12,,AA,8,SHASHEMENE DISTRICT,ET0010613,16482_ZERENDK,54363_ZERENDK,16-Sep-22,15:24,,,BQR
ET0010615,Melka Oda Branch,1-Jan-12,,AA,8,SHASHEMENE DISTRICT,ET0010615,62033_GEMGADB,52619_GEMGADB,16-Sep-22,15:57,,,MKO
ET0010616,Dida Boqe Branch,1-Jan-12,,AA,8,SHASHEMENE DISTRICT,ET0010616,84265_GEMGADB,39779_GEMGADB,16-Sep-22,16:20,,,DDB
ET0010009,Ambo Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010009,20041_MUBSHER__OFS_BROWSERTC,22353_INPUTTER,18-Oct-18,17:58,,,AMB
ET0010011,Burayu Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010011,20821_MUBSHER__OFS_BROWSERTC,94152_INPUTTER,27-Oct-18,10:17,,,BRY
ET0010542,Kusaye Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010542,60667_HABBEKU__OFS_BROWSERTC,78490_HABBEKU,6-Dec-21,16:03,,,KUS
ET0010543,Axale Jatani Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010543,60646_HABBEKU__OFS_BROWSERTC,45010_HABBEKU,6-Dec-21,16:03,,,AXJ
ET0010528,Nejashi Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010528,46902_HABBEKU,46902_HABBEKU,20-Nov-21,11:00,,,NJS
ET0010036,Kolfe Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010036,56_HABBEKU__OFS_BROWSERTC,54712_INPUTTER,17-Aug-21,21:15,,,KLF
ET0010042,Gefersa Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010042,20834_MUBSHER__OFS_BROWSERTC,54712_INPUTTER,27-Oct-18,12:01,,,GFR
ET0010044,Holeta Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010044,20821_MUBSHER__OFS_BROWSERTC,54712_INPUTTER,27-Oct-18,12:05,,,HLT
ET0010058,Gedo Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010058,20885_MUBSHER__OFS_BROWSERTC,8569_INPUTTER,27-Oct-18,17:51,,,GDO
ET0010078,Ginchi Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010078,21159_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:16,,,GNC
ET0010088,Bethel Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010088,21003_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:31,,,BTH
ET0010091,Guder Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010091,20900_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:36,,,GDR
ET0010097,Ayer Tena Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010097,21003_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:43,,,AYT
ET0010128,Asko Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010128,20937_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,12:03,,,ASK
ET0010144,Dire Hinchini Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010144,21003_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,15:54,,,DRH
ET0010152,Bako Tibe Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010152,56_HABBEKU__OFS_BROWSERTC,90787_INPUTTER,17-Aug-21,21:15,,,BKT
ET0010165,Mogor Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010165,21259_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:18,,,MGR
ET0010181,Guje Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010181,21259_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:36,,,GJE
ET0010187,Ejere Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010187,21003_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:41,,,EJR
ET0010195,Midakegni Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010195,20937_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:53,,,MDK
ET0010216,Meta Walkite Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010216,20937_MUBSHER__OFS_BROWSERTC,4777_INPUTTER,28-Oct-18,17:20,,,MTW
ET0010220,Ilu Gelan Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010220,20937_MUBSHER__OFS_BROWSERTC,4777_INPUTTER,28-Oct-18,17:25,,,ILG
ET0010241,Ada Barga Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010241,21159_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:48,,,ADB
ET0010262,Abuna Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010262,10078_TEMESGENTAL__OFS_BROWSERTC,8096_TEMESGENTAL,5-Oct-17,9:26,,,ABG
ET0010263,Jaldu Branch,18-Sep-17,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010263,10078_TEMESGENTAL__OFS_BROWSERTC,32844_FEYKIDK,5-Oct-17,9:26,,,JLD
ET0010291,Kombe Branch,14-Dec-17,,AA,9,WESTERN FINFINE DISTRICT,ET0010291,8893_DONABEH__OFS_BROWSERTC,75779_NEGAKUA,2-Nov-20,15:42,,,KBE
ET0010301,Olonkomi Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010301,43930_TSENIRM,43930_TSENIRM,4-Jul-18,21:29,,,OLO
ET0010303,Kutaye Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010303,81010_ASKKASA__OFS_GCS,15391_ASKKASA,6-Jul-18,0:31,,,KTY
ET0010307,Odo Liben Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010307,10024_ASKKASA__OFS_BROWSERTC,64261_ASKKASA,7-Jul-18,0:11,,,ODL
ET0010308,Melka Gefersa Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010308,70588_CTSUSER__OFS_BROWSERTC,64261_ASKKASA,30-Nov-18,0:22,,,MLG
ET0010312,Gafarsa Nono,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010312,10717_REGALEC__OFS_GCS,98980_REGALEC,8-Sep-18,20:55,,,GFN
ET0010320,Liban Jawi Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010320,10735_FEYKIDK__OFS_GCS,36488_FEYKIDK,13-Sep-18,2:27,,,LBJ
ET0010322,Karra Qore Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010322,48296_WONYESB,25332_WONYESB,11-Sep-18,23:43,,,KRR
ET0010327,Oda Bisil Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010327,81036_TSENIRM__OFS_GCS,32933_TSENIRM,15-Sep-18,1:53,,,ODB
ET0010328,Dire Sololiya,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010328,81069_NEGAKUA__OFS_BROWSERTC,12009_WONYESB,26-Sep-18,11:14,,,DSL
ET0010333,Qajela Doyo Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010333,42618_DONABEH__OFS_BROWSERTC,87043_REGALEC,2-Oct-20,9:12,,,QAD
ET0010362,Makkat AlMukkarama,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010362,56_HABBEKU__OFS_BROWSERTC,9818_FEYKIDK,17-Aug-21,21:16,,,MAK
ET0010376,Wadessa Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010376,28154_REGALEC__OFS_BROWSERTC,46062_HABBEKU,19-May-20,11:32,,,WAM
ET0010384,Boku Migra Bake Branch,22-Jan-19,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010384,160067_ADDKAMC__OFS_BROWSERTC,22058_ADDKAMC,23-Jan-19,1:14,,,BKM
ET0010385,Goro Qerensa Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010385,70661_TSENIRM__OFS_BROWSERTC,51505_TSENIRM,24-Jan-19,1:34,,,GRQ
ET0010413,Ansar Branch,17-Dec-19,,AA,9,WESTERN FINFINE DISTRICT,ET0010413,24115_ADDKAMC__OFS_BROWSERTC,58026_ADDKAMC,17-Dec-19,19:47,,,ANS
ET0010433,Jagema Bedhane Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010433,8841_FEYKIDK__OFS_BROWSERTC,24524_FEYKIDK,12-Nov-20,14:50,,,JGB
ET0010434,TEQWA BRANCH,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010434,40259_HABBEKU__OFS_BROWSERTC,84732_HABBEKU,22-Jan-21,16:42,,,TQW
ET0010453,Qale Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010453,2093_FEYKIDK__OFS_BROWSERTC,3669_FEYKIDK,10-Feb-22,17:09,,,QLE
ET0010461,Jibat Branch,1-Jan-12,,OROMIA,9,WESTERN FINFINE DISTRICT,ET0010461,20091_REGALEC__OFS_BROWSERTC,67655_FEYKIDK,29-Apr-21,10:04,,,JBT
ET0010472,Irbu Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010472,7019_FEYKIDK,29216_FEYKIDK,30-Jun-21,10:28,,,IRB
ET0010499,Katta Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010499,52107_FEYKIDK,900_FEYKIDK,20-Sep-21,14:39,,,KET
ET0010567,Hayyu Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010567,48985_FEYKIDK,29546_FEYKIDK,4-Apr-22,10:20,,,HYU
ET0010571,Kolobo Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010571,1371_ZERENDK,43405_ZERENDK,4-Apr-22,10:31,,,KLB
ET0010565,Boke Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010565,73540_ZERENDK,53316_ZERENDK,4-Apr-22,11:44,,,BKB
ET0010568,Lega Saqo Branch,1-Jan-12,,AA,9,WESTERN FINFINE DISTRICT,ET0010568,42027_ZERENDK,80537_ZERENDK,6-Apr-22,18:42,,,LGS
ET0010033,Shenen Gibe Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010033,81107_NEGAKUA__OFS_BROWSERTC,54712_INPUTTER,4-Sep-18,15:58,,,SHG
ET0010014,Seglen Ilu Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010014,20755_MUBSHER__OFS_BROWSERTC,82453_INPUTTER,27-Oct-18,10:31,,,SGI
ET0010516,AlRahma Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010516,91737_HABBEKU__OFS_BROWSERTC,40268_HABBEKU,31-Dec-21,17:43,,,ALR
ET0010503,Hurumu Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010503,40563_HABBEKU__OFS_BROWSERTC,45664_HABBEKU,13-Dec-21,14:54,,,HRU
ET0010504,Bonga Branch,1-Jan-12,,South West Ethiopia,10,JIMMA DISTRICT,ET0010504,644_ZERENDK__OFS_BROWSERTC,58433_HABBEKU,25-Jan-22,15:41,,,BNG
ET0010502,Bure Ilu Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010502,40563_HABBEKU__OFS_BROWSERTC,43827_HABBEKU,13-Dec-21,14:54,,,BRL
ET0010500,Seka Chokorsa Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010500,40476_HABBEKU__OFS_BROWSERTC,41744_HABBEKU,13-Dec-21,14:55,,,SKC
ET0010471,Sedecha Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010471,40345_HABBEKU__OFS_BROWSERTC,5540_HABBEKU,13-Dec-21,14:55,,,SDC
ET0010470,Melka Debana Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010470,40618_HABBEKU__OFS_BROWSERTC,37645_HABBEKU,13-Dec-21,14:56,,,MLD
ET0010480,Newland Micro Branch,1-Jan-12,,GAMBELA,10,JIMMA DISTRICT,ET0010480,40844_HABBEKU__OFS_BROWSERTC,15052_HABBEKU,13-Dec-21,14:55,,,NWL
ET0010479,Sor Micro Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010479,40841_HABBEKU__OFS_BROWSERTC,36014_HABBEKU,13-Dec-21,14:56,,,SOR
ET0010109,Limu Genet Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010109,81066_NEGAKUA__OFS_BROWSERTC,90787_INPUTTER,4-Sep-18,15:59,,,LMG
ET0010114,Bedelle Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010114,21159_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,11:21,,,BDL
ET0010116,Agaro Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010116,21003_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,11:40,,,AGR
ET0010139,Yayyo Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010139,21003_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,15:47,,,YYO
ET0010141,Gambella Branch,1-Jan-12,,GAMBELA,10,JIMMA DISTRICT,ET0010141,21259_MUBSHER__OFS_BROWSERTC,90787_INPUTTER,28-Oct-18,15:50,,,GMB
ET0010153,Mizan Aman Branch,1-Jan-12,,South West Ethiopia,10,JIMMA DISTRICT,ET0010153,2028_ZERENDK__OFS_BROWSERTC,90787_INPUTTER,25-Jan-22,15:42,,,MZA
ET0010159,Tepi Branch,1-Jan-12,,South West Ethiopia,10,JIMMA DISTRICT,ET0010159,1959_ZERENDK__OFS_BROWSERTC,62274_INPUTTER,25-Jan-22,15:42,,,TPI
ET0010160,Chora Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010160,42576_DONABEH__OFS_BROWSERTC,62274_INPUTTER,2-Oct-20,9:10,,,COR
ET0010198,Darimu Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010198,20937_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:56,,,DRM
ET0010199,Asandabo Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010199,21159_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:58,,,ASN
ET0010212,Dambi Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010212,21003_MUBSHER__OFS_BROWSERTC,72225_INPUTTER,28-Oct-18,17:14,,,DMB
ET0010213,Jiren Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010213,21003_MUBSHER__OFS_BROWSERTC,72225_INPUTTER,28-Oct-18,17:17,,,JRN
ET0010237,Alge Sachi Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010237,21159_MUBSHER__OFS_BROWSERTC,52757_INPUTTER,28-Oct-18,17:44,,,ALS
ET0010252,Gera Branch,20-Jun-17,,OROMIA,10,JIMMA DISTRICT,ET0010252,21159_MUBSHER__OFS_BROWSERTC,33366_INPUTTER,28-Oct-18,18:07,,,GRA
ET0010256,Limu Seqqa Branch,20-Jun-17,,OROMIA,10,JIMMA DISTRICT,ET0010256,21003_MUBSHER__OFS_BROWSERTC,36978_MIG03,28-Oct-18,18:10,,,LMS
ET0010275,Gore Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010275,81068_NEGAKUA__OFS_BROWSERTC,91595_FEYKIDK,4-Sep-18,16:05,,,GOR
ET0010313,Aba Jifar Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010313,81071_NEGAKUA__OFS_BROWSERTC,2420_REGALEC,4-Sep-18,16:05,,,ABJ
ET0010314,Mettu Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010314,81065_NEGAKUA__OFS_BROWSERTC,12844_TCSP,4-Sep-18,16:06,,,MTU
ET0010342,Hirmata Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010342,10200_TSENIRM__OFS_BROWSERTC,69508_TSENIRM,15-Nov-18,1:59,,,HIR
ET0010356,Shabe Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010356,50133_REGALEC__OFS_BROWSERTC,58069_REGALEC,29-Dec-18,23:14,,,SHA
ET0010357,Awetu Branch,1-Jan-12,,OROMIA,10,JIMMA DISTRICT,ET0010357,50122_HABBEKU__OFS_BROWSERTC,38678_HABBEKU,18-Dec-18,7:25,,,AWT
